iter	Passed	Remaining
0	11	1251
1	14	792
2	18	650
3	21	573
4	25	527
5	29	503
6	32	479
7	33	432
8	36	414
9	40	405
10	44	396
11	48	392
12	51	380
13	52	357
14	55	352
15	59	347
16	62	342
17	66	338
18	69	333
19	73	329
20	76	324
21	80	320
22	83	316
23	86	311
24	91	310
25	95	309
26	99	307
27	102	299
28	117	327
29	120	322
30	123	314
31	126	308
32	131	305
33	134	299
34	138	296
35	139	287
36	143	282
37	147	279
38	151	275
39	155	271
40	158	266
41	162	262
42	165	258
43	169	254
44	173	251
45	177	246
46	181	242
47	184	238
48	190	236
49	193	232
50	196	227
51	200	223
52	204	219
53	207	215
54	211	211
55	215	207
56	219	203
57	222	199
58	237	205
59	241	201
60	245	197
61	249	192
62	252	188
63	255	183
64	267	184
65	270	180
66	273	175
67	277	171
68	282	167
69	285	163
70	289	159
71	293	154
72	296	150
73	300	146
74	304	142
75	309	138
76	312	134
77	316	129
78	319	125
79	322	121
80	326	116
81	329	112
82	333	108
83	336	104
84	340	100
85	344	96
86	347	91
87	351	87
88	354	83
89	357	79
90	360	75
91	363	71
92	366	67
93	370	62
94	373	58
95	375	54
96	377	50
97	380	46
98	382	42
99	385	38
100	387	34
101	390	30
102	392	26
103	395	22
104	397	18
105	400	15
106	402	11
107	405	7
108	407	3
109	409	0
